Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,45.0,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level. ",0 days 00:26:00,3076.0,Hinduism,"['Hinduism', 'Forecasting & Strategic Planning', 'Leadership']"
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,331.0,401.0,This Audiobook contains the following works :,4 days 06:19:00,1485.0,Caribbean & Latin American Literature,"['Caribbean & Latin American Literature', 'English, Irish, Scottish & Welsh Literature', 'Classic Literature']"
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,507.0,752.0,Shortlisted for the Booker Prize 2019,0 days 09:11:00,221.0,Friendship Fiction,"['Friendship Fiction', ""Women's Fiction"", 'Political Fiction']"
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,4.5,178.0,668.0,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.  ",0 days 06:19:00,2004.0,Money & Finance,"['Money & Finance', 'Business & Economics']"
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,4.7,210.0,1005.0,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves. ,0 days 08:50:00,719.0,Personal Success,"['Personal Success', 'Personal Development & Self-Help']"
101 Amazing Facts About Trees,Jack Goldstein,5.0,1.0,152.0,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself? ,0 days 00:35:00,29657.0,Flowers & Trees for Children,"['Flowers & Trees for Children', 'Botany & Plants', ""Children's Science, Nature & Technology""]"
101 Amazing Facts About the Royal Family,Jack Goldstein,2.6,15.0,152.0,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family? ",0 days 00:30:00,29652.0,Biographies of Royalty,"['Biographies of Royalty', 'Biographies & Autobiographies', 'Textbooks & Study Guides']"
101 Best Indian Fables for Children,Stuti Gupta,3.7,23.0,233.0,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over? ,0 days 02:26:00,3958.0,"Fairy Tales, Folk Tales & Myths for Children","['Fairy Tales, Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""Children's Traditional Stories""]"
101 Panchatantra Stories,Om Books International,4.1,236.0,233.0,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too! ",0 days 02:26:00,1059.0,Contemporary Fiction,"['Contemporary Fiction', 'Fiction Short Stories', 'Short Stories']"
101 Panchtantra Stories,Dreamland Publications,4.3,1624.0,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection. ",0 days 01:41:00,536.0,"Fairy Tales, Folk Tales & Myths for Children","['Fairy Tales, Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""Children's Traditional Stories""]"
13 Steps to Bloody Good Wealth,Ashwin Sanghi,4.3,319.0,501.0,The only way to become wealthy is by being born wealthy. Right? Wrong! ,0 days 04:20:00,3141.0,Indian Literature,"['Indian Literature', 'Personal Finance', 'Personal Success']"
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,1344.0,10378.0,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back. ",0 days 06:36:00,1977.0,Business Motivation & Self-Improvement,"['Business Motivation & Self-Improvement', 'Personal Success', 'Analysis & Strategy']"
"15 Secrets Successful People Know About Time Management: The Productivity Habits of 7 Billionaires, 13 Olympic Athletes, 29 Straight-A Students, and 239 Entrepreneurs",Kevin Kruse,4.5,461.0,501.0,"New York Times best-selling author Kevin Kruse presents the remarkable findings of his study of ultraproductive people. Based on survey research and interviews with billionaires, Olympic athletes, straight-A students, and over 200 entrepreneurs - including Mark Cuban, Kevin Harrington, James Altucher, John Lee Dumas, Pat Flynn, Grant Cardone, and Lewis Howes - Kruse answers the question: What are the secrets to extreme productivity? ",0 days 03:10:00,4691.0,Time Management & Productivity,"['Time Management & Productivity', 'Business Careers', 'Personal Success']"
168 Hours: You Have More Time Than You Think,Laura Vanderkam,4.3,195.0,844.0,"There are 168 hours in a week. This book is about where the time really goes, and how we can all use it better. It's an unquestioned truth of modern life: we are starved for time. With the rise of two-income families, extreme jobs, and 24/7 connectivity, life is so frenzied we can barely find time to breathe. We tell ourselves we'd like to read more, get to the gym regularly, try new hobbies, and accomplish all kinds of goals. But then we give up because there just aren't enough hours to do it all. Or else, if we don't make excuses, we make sacrifices. To get ahead at work we spend less time with our spouses. To carve out more family time, we put off getting in shape. To train for a marathon, we cut back on sleep. There has to be a better way - and Laura Vanderkam has found one. ",0 days 07:48:00,348.0,Time Management,"['Time Management', 'Time Management & Productivity', 'Personal Success']"
1984,George Orwell,4.5,16938.0,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",0 days 12:19:00,130.0,Dystopian Science Fiction,"['Dystopian Science Fiction', 'Political Fiction', 'Literary Fiction']"
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,182.0,668.0,"P. V. Narasimha Rao (or PV, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. From the vantage point of his long personal and professional association with the former prime minister, best-selling author Sanjaya Baru shows how PV's impact on the nation's fortunes went way beyond the economy. ",0 days 05:25:00,803.0,Biographies of Presidents & Heads of State,"['Biographies of Presidents & Heads of State', 'Economic History', 'Biographies of Politicians']"
2 States: The Story of My Marriage,Chetan Bhagat,4.4,1077.0,568.0,Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married.,0 days 08:23:00,2907.0,Indian Literature,"['Indian Literature', 'Romance', 'Anthologies']"
2001: A Space Odyssey,Arthur C. Clarke,4.6,959.0,352.0,"This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for director Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.",0 days 06:42:00,1550.0,Hard Science Fiction,"['Hard Science Fiction', 'Technothrillers', 'Space Opera Science Fiction']"
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093.0,Brought to you by Penguin.,0 days 11:41:00,14.0,Political Science History & Theory,"['Political Science History & Theory', 'United States Politics & Government', 'Political Theory']"
2666,Roberto Bolaño,4.1,354.0,1406.0,"National Book Critics Circle, Fiction, 2009",1 days 15:15:00,3144.0,Literary Fiction,"['Literary Fiction', 'Crime, Thriller & Mystery', 'Contemporary Fiction']"
281 and Beyond,VVS Laxman,4.5,204.0,1003.0,"A stylish batsman who could score against any kind of bowling, VVS Laxman played over a hundred Tests to aggregate more than 8,000 runs. Cricket fans still remember with awe his game-changing knock of 281 against Australia in 2001 at Eden Gardens. But playing for India was never easy. He was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a World Cup team.  ",0 days 17:29:00,2481.0,Cricket,"['Cricket', 'Sports Biographies', 'Cricket']"
"30 Days - Change Your Habits, Change Your Life: A Couple of Simple Steps Every Day to Create the Life You Want",Marc Reklau,4.4,436.0,340.0,Have you ever asked yourself why some people seem to get everything easily and others don't? ,0 days 04:12:00,4442.0,Time Management & Productivity,"['Time Management & Productivity', 'Self-Esteem', 'Analysis & Strategy']"
30 Days to a More Powerful Vocabulary: The 500 Words You Need to Know to Transform Your Vocabulary...and Your Life,Dan Strutzel,3.7,14.0,656.0,A Bigger Vocabulary = A Brighter Future ,0 days 07:48:00,439.0,English Language Learning,"['English Language Learning', 'Communication & Social Skills', 'Business Careers']"
33 Strategies of War,Robert Greene,4.2,4.0,820.0,"33 Strategies of War is a comprehensive guide to the subtle social game of everyday life, informed by the most ingenious and effective military principles in war. It's the I-Ching of conflict, the contemporary companion to Sun Tzu's The Art of War, and is abundantly illustrated with examples from history, including the folly and genius of everyone from Napoleon to Margaret Thatcher, Hannibal to Ulysses S. Grant, movie moguls to samurai swordsmen. ",1 days 03:30:00,718.0,Communication & Social Skills,"['Communication & Social Skills', 'Personal Success in Business', 'Business & Economics']"
365 Jataka Tales,Om Books International,4.0,37.0,668.0,"The 365 series presents a variety of stories from Indian mythology, the Bible, the Jatakas, the Panchatantra, bedtime stories, folklore, and much more. From powerful sages to wicked demons, from arrogant kings to beautiful goddesses, this series showcases the most enchanting and gripping stories from all over the world.",0 days 08:31:00,3776.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668.0,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals. ,0 days 07:29:00,88.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Stories from Around the World,Om Books International,4.0,22.0,668.0,"The 365 Stories from Around the World is a treasure trove of stories from around the world - right from the barren sands of Arabia to the icy cold polar regions of Antarctica and different eras. Through this book, a child can travel and know about the culture and history of different places, all by sitting at one place! ",0 days 08:13:00,2083.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Tales of Indian Mythology,Om Books International,4.4,238.0,836.0,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",0 days 10:01:00,81.0,Literary Criticism for Children,"['Literary Criticism for Children', ""Children's Traditional Stories""]"
